Title,Price,Rating,Link
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+","83,990",3.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTk4ODIyNDM1ODMzMjcyOjE3NzM1NTcyNDg6c3BfYXRmX25leHQ6MzAwOTAzMjY5MTUwOTMyOjowOjo&url=%2FASUS-Vivobook-Smartchoice-Office24-M3407KA-SF049WS%2Fdp%2FB0FMRV42V9%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.NnEFTphInJoCQIPLnyN_QpZ-iLK2QV5D8MJzHgeEQuQJ4oA5nG_OsaHA6vIRwosXn_j_DlhmHrPqOw0XgZaYZByV-cg4Z1nTlqwXMPOl9B8XCG3Vf-Gno8IK3iMccjHBWlUPM3RAFDnESKu-dB7VD1VQW5C6yEamI8xJfKqSpz_2xVUReIooR8-Ig__tXtEGX0WEn3Yv5c9PVmtCEXS65jyPrvYAMB7vZvkWGYZ5ekg.E2nH1uPniXgu25ildy1AC0iFrJauR9VJc0e4M3BGmjM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1773557248%26sr%3D8-17-spons%26aref%3D1LizSQI7qo%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=1LizSQI7qo&sp_cr=ZAZ
"Lenovo Legion 9 Intel Core i9-13980HX 16"" (40.64cm) 3.2K Mini LED 1200Nits 165Hz Gaming Laptop (32GB/2TB SSD/NVIDIA RTX 4090 16GB/Black/2.5Kg), 83AG0044IN +GB700 Backpack","4,53,835",N/A,https://www.amazon.in/Lenovo-i9-13980HX-1200Nits-83AG0044IN-Backpack/dp/B0DFCK3BZQ/ref=sr_1_66?dib=eyJ2IjoiMSJ9.B4eM_PPZ9d1g1yQt3BJehxIwzqLLCo2l49vdIrHqQR-IwAIWMxmy1sMTIGeYh-kPLO62vJeJaPI7_ARJnEacYci1q33SFkl66VJuOrbnQpFTODsnyLiBf2AEMjmtgda65SA-NyChNukQh9y0rkHQlANTgZq1ZwDQ6Pigkruow9ndgC89Ed2J3ZroAxE_Vc37rTlnOVChMasM_qrPh6EOZJ4SM-HrgjOQn5kFDSfK8Po.EzMnHpIwBjk6q6ZLz0ZnHe7_1vp2HWoNpM1o12hF4Ew&dib_tag=se&keywords=laptop&qid=1773557257&sr=8-66
"Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg), 83KT000LIN Convertible Laptop","99,990",4.1,https://www.amazon.in/Lenovo-IdeaPad-Windows-83KT000LIN-Convertible/dp/B0FDKH95BB/ref=sr_1_65?dib=eyJ2IjoiMSJ9.B4eM_PPZ9d1g1yQt3BJehxIwzqLLCo2l49vdIrHqQR-IwAIWMxmy1sMTIGeYh-kPLO62vJeJaPI7_ARJnEacYci1q33SFkl66VJuOrbnQpFTODsnyLiBf2AEMjmtgda65SA-NyChNukQh9y0rkHQlANTgZq1ZwDQ6Pigkruow9ndgC89Ed2J3ZroAxE_Vc37rTlnOVChMasM_qrPh6EOZJ4SM-HrgjOQn5kFDSfK8Po.EzMnHpIwBjk6q6ZLz0ZnHe7_1vp2HWoNpM1o12hF4Ew&dib_tag=se&keywords=laptop&qid=1773557257&sr=8-65
"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg), 82XQ00XDIN","45,899",4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjI3ODgxMDI1MzUwOTY5OjE3NzM1NTcyNDE6c3BfYnRmOjMwMDA0MzY5NjM3OTAzMjo6MDo6&url=%2FLenovo-Ideapad-Backlit-Keyboard-82XQ008VIN%2Fdp%2FB0CD4BQ4SF%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.hJDFApibiOcDEB0nfcXmShBOi4Wa7RF870vRhjG9BPhmXeK6aBRnbQPv55jS3UdyDkYkUHubQPqdjTIoKOAdn9nuydXg2Gn_WkGQE3GK802s4uJ539KQwpXCSgEqhgX_TLBRuxOiPHch7naJbsnCZAVN5dUWUYYtcnMVTxO8IYSGXMME-HlkYfA180qgF8mDEnbcRgi6aSsCwGwBgC4hYv-ezVo_mHmnSQJTc--e3vM.WeVKaMvLBi8_fXcI66-NEIKnU5JEO5LMbk-CWsDYTKc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1773557241%26sr%3D8-22-spons%26aref%3D58LghLGN8a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=58LghLGN8a&sp_cr=ZAZ
"HP Victus, AMD Ryzen 7 7445HS, 4GB RTX 2050, 16GB DDR5(Upgradable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fb3123AX, Backlit, Gaming Laptop","64,990",3.6,https://www.amazon.in/HP-Upgradable-Office24-fb3123AX-Backlit/dp/B0G9239R5S/ref=sr_1_45?dib=eyJ2IjoiMSJ9.4LTvQgazwu4fQVtnEPU6UIdvimWNYMa3F3belTQfVjATZmFhP-DN7eAtX02vobu_C4w8Xm7ABfB3JINjTCTC_KQ-VSSM-bxG3iLG4nWoW83sBgWBfU4yMD5h3fgAbyF2ZydMLE-UK05lJWS9m4G6gwgae3glRiOa4bAuVUWFlAj7A2Yj5oTJ5N6AGaWiXCi0FQxXvLGR-VHHpgYutjnySMMGAC2LNTkq9oPfphNuOqs.qGmjWWgMl5Jk7hIE4GJEUnbRtYWBcsmaq1YJYzRaCOI&dib_tag=se&keywords=laptop&qid=1773557253&sr=8-45
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (16GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100TDIN","82,990",4.2,https://www.amazon.in/Lenovo-IdeaPad-i7-13620H-Backlit-83K100TDIN/dp/B0G48KV4YP/ref=sr_1_41?dib=eyJ2IjoiMSJ9.4LTvQgazwu4fQVtnEPU6UIdvimWNYMa3F3belTQfVjATZmFhP-DN7eAtX02vobu_C4w8Xm7ABfB3JINjTCTC_KQ-VSSM-bxG3iLG4nWoW83sBgWBfU4yMD5h3fgAbyF2ZydMLE-UK05lJWS9m4G6gwgae3glRiOa4bAuVUWFlAj7A2Yj5oTJ5N6AGaWiXCi0FQxXvLGR-VHHpgYutjnySMMGAC2LNTkq9oPfphNuOqs.qGmjWWgMl5Jk7hIE4GJEUnbRtYWBcsmaq1YJYzRaCOI&dib_tag=se&keywords=laptop&qid=1773557253&sr=8-41
"Primebook 2 Max 2025 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","22,990",4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjU3NTUyNTg1MTczODA0OjE3NzM1NTcyNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDcwNjM5MjAxMDAzMjo6Mjo6&url=%2FPrimebook-Storage-15-6-Inch-MediaTek-Keyboard%2Fdp%2FB0FFMQB3KL%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FFMQB3KL%26pd_rd_r%3Dc88db800-574f-4385-9e8e-35aa1b822eba%26pd_rd_w%3DGzn9x%26pd_rd_wg%3DpMR1K%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3DMM2NZVYF4ZG55ZFAKY61%26qid%3D1773557257%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-51-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DzUANlRM61Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zUANlRM61Y&sp_cr=ZAZ
"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA07QIH","44,990",4.1,https://www.amazon.in/Lenovo-V15-i5-1235U-Windows-82TTA07QIH/dp/B0DDY2JQLQ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.NnEFTphInJoCQIPLnyN_QpZ-iLK2QV5D8MJzHgeEQuQJ4oA5nG_OsaHA6vIRwosXn_j_DlhmHrPqOw0XgZaYZByV-cg4Z1nTlqwXMPOl9B8XCG3Vf-Gno8IK3iMccjHBWlUPM3RAFDnESKu-dB7VD1VQW5C6yEamI8xJfKqSpz_2xVUReIooR8-Ig__tXtEGX0WEn3Yv5c9PVmtCEXS65jyPrvYAMB7vZvkWGYZ5ekg.E2nH1uPniXgu25ildy1AC0iFrJauR9VJc0e4M3BGmjM&dib_tag=se&keywords=laptop&qid=1773557248&sr=8-20
"Lenovo IdeaPad 1 Intel Celeron N4500, 8GB RAM, 512GB SSD, HD 15.6""(39.6cm), Windows 11, Grey, 1.55Kg, 82LX00F7IN, 3 Month Game Pass Laptop","35,000",3.8,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Windows-82LX00F7IN/dp/B0F8QDP5MK/ref=sr_1_32?dib=eyJ2IjoiMSJ9.NnEFTphInJoCQIPLnyN_QpZ-iLK2QV5D8MJzHgeEQuQJ4oA5nG_OsaHA6vIRwosXn_j_DlhmHrPqOw0XgZaYZByV-cg4Z1nTlqwXMPOl9B8XCG3Vf-Gno8IK3iMccjHBWlUPM3RAFDnESKu-dB7VD1VQW5C6yEamI8xJfKqSpz_2xVUReIooR8-Ig__tXtEGX0WEn3Yv5c9PVmtCEXS65jyPrvYAMB7vZvkWGYZ5ekg.E2nH1uPniXgu25ildy1AC0iFrJauR9VJc0e4M3BGmjM&dib_tag=se&keywords=laptop&qid=1773557248&sr=8-32
"ASUS Zenbook 14, Smartchoice,AMD Ryzen AI 5 340, AI PC(AMD Radeon Graphics/16GB RAM/512GB SSD/3K OLED/14/120Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jade Black/1.2 Kg) UM3406KA-PP240WS","85,990",4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA2MDQxODAzODM5OTY5OjE3NzM1NTcyNDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDk2NTY1NzcwNzAzMjo6MTo6&url=%2FASUS-Zenbook-Smartchoice-Graphics-UM3406KA-PP240WS%2Fdp%2FB0F9YG6D4C%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F9YG6D4C%26pd_rd_r%3D16e290af-fcbb-42d3-b026-cb23b7b66df6%26pd_rd_w%3DNNOE6%26pd_rd_wg%3DqMtP9%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DVTCRGF74NB32T9C77HKY%26qid%3D1773557241%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DTxkOmY92Cl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=TxkOmY92Cl&sp_cr=ZAZ
